orig_book_index	orig_chapter	orig_verse	text
40N	5	1	כד חזא דינ ישׁוע לכנשׁא סלק לטורא וכד יתב קרבו לותה תלמידוהי ܀
40N	5	2	ופתח פומה ומלפ הוא להונ ואמר ܀
40N	5	3	טוביהונ למסכנא ברוח דדילהונ הי מלכותא דשׁמיא ܀
40N	5	4	טוביהונ לאבילא דהנונ נתביאונ ܀
40N	5	5	טוביהונ למכיכא דהנונ נארתונ לארעא ܀
40N	5	6	טוביהונ לאילינ דכפנינ וצהינ לכאנותא דהנונ נסבעונ ܀
40N	5	7	טוביהונ למרחמנא דעליהונ נהוונ רחמא ܀
40N	5	8	טוביהונ לאילינ דדכינ בלבהונ דהנונ נחזונ לאלהא ܀
40N	5	9	טוביהונ לעבדי שׁלמא דבנוהי דאלהא נתקרונ ܀
40N	5	10	טוביהונ לאילינ דאתרדפו מטל כאנותא דדילהונ הי מלכותא דשׁמיא ܀
40N	5	11	טוביכונ אמתי דמחסדינ לכונ ורדפינ לכונ ואמרינ עליכונ כל מלא בישׁא מטלתי בדגלותא ܀
40N	5	12	הידינ חדו ורוזו דאגרכונ סגי בשׁמיא הכנא גיר רדפו לנביא דמנ קדמיכונ ܀
40N	5	13	אנתונ אנונ מלחה דארעא אנהו דינ דמלחא תפכה במנא תתמלח למדמ לא אזלא אלא דתשׁתדא לבר ותתדישׁ מנ אנשׁא ܀
40N	5	14	אנתונ אנונ נוהרה דעלמא לא משׁכחא דתטשׁא מדינתא דעל טורא בניא ܀
40N	5	15	ולא מנהרינ שׁרגא וסימינ לה תחית סאתא אלא על מנרתא ומנהר לכל אילינ דבביתא אנונ ܀
40N	5	16	הכנא ננהר נוהרכונ קדמ בנינשׁא דנחזונ עבדיכונ טבא ונשׁבחונ לאבוכונ דבשׁמיא ܀
40N	5	17	לא תסברונ דאתית דאשׁרא נמוסא או נביא לא אתית דאשׁרא אלא דאמלא ܀
40N	5	18	אמינ גיר אמר אנא לכונ דעדמא דנעברונ שׁמיא וארעא יוד חדא או חד סרטא לא נעבר מנ נמוסא עדמא דכל נהוא ܀
40N	5	19	כל מנ הכיל דנשׁרא חד מנ פוקדנא הלינ זעורא ונלפ הכנא לבנינשׁא בצירא נתקרא במלכותא דשׁמיא כל דינ דנעבד ונלפ הנא רבא נתקרא במלכותא דשׁמיא ܀
40N	5	20	אמר אנא לכונ גיר דאלא תאתר כאנותכונ יתיר מנ דספרא ופרישׁא לא תעלונ למלכותא דשׁמיא ܀
40N	5	21	שׁמעתונ דאתאמר לקדמיא לא תקטול וכל דנקטול מחיב הו לדינא ܀
40N	5	22	אנא דינ אמר אנא לכונ דכל מנ דנרגז על אחוהי איקא מחיב הו לדינא וכל דנאמר לאחוהי רקא מחיב הו לכנושׁתא ומנ דנאמר ללא מחיב הו לגהנא דנורא ܀
40N	5	23	אנ הו הכיל דמקרב אנת קורבנכ על מדבחא ותמנ תתדכר דאחיד עליכ אחוכ אכתא מדמ ܀
40N	5	24	שׁבוק תמנ קורבנכ קדמ מדבחא וזל לוקדמ אתרעא עמ אחוכ והידינ תא קרב קורבנכ ܀
40N	5	25	הוית מתאוא עמ בעל דינכ עגל עד עמה אנת באורחא דלמא בעל דינכ נשׁלמכ לדינא ודינא נשׁלמכ לגביא ותפל בית אסירא ܀
40N	5	26	ואמינ אמר אנא לכ דלא תפוק מנ תמנ עדמא דתתל שׁמונא אחריא ܀
40N	5	27	שׁמעתונ דאתאמר דלא תגור ܀
40N	5	28	אנא דינ אמר אנא לכונ דכל מנ דחזא אנתתא איכ דנרגיה מחדא גרה בלבה ܀
40N	5	29	אנ דינ עינכ דימינא מכשׁלא לכ חציה ושׁדיה מנכ פקח לכ גיר דנאבד חד הדמכ ולא כלה פגרכ נפל בגהנא ܀
40N	5	30	ואנ אידכ דימינא מכשׁלא לכ פסוק שׁדיה מנכ פקח לכ גיר דנאבד חד מנ הדמיכ ולא כלה פגרכ נפל בגהנא ܀
40N	5	31	אתאמר דמנ דשׁרא אנתתה נתל לה כתבא דדוללא ܀
40N	5	32	אנא דינ אמר אנא לכונ דכל מנ דשׁרא אנתתה לבר מנ מלתא דזניותא עבד לה דתגור ומנ דשׁקל שׁביקתא גאר ܀
40N	5	33	תוב שׁמעתונ דאתאמר לקדמיא דלא תדגל במומתכ תשׁלמ דינ למריא מומתכ ܀
40N	5	34	אנא דינ אמר אנא לכונ לא תאמונ סכ לא בשׁמיא דכורסיא הו דאלהא ܀
40N	5	35	ולא בארעא דכובשׁא הי דתחית רגלוהי אפלא באורישׁלמ דמדינתה הי דמלכא רבא ܀
40N	5	36	אפלא ברשׁכ תאמא דלא משׁכח אנת למעבד בה מנתא חדא דסערא אוכמתא או חורתא ܀
40N	5	37	אלא תהוא מלתכונ אינ אינ ולא לא מדמ דמנ הלינ יתיר מנ בישׁא הו ܀
40N	5	38	שׁמעתונ דאתאמר דעינא חלפ עינא ושׁנא חלפ שׁנא ܀
40N	5	39	אנא דינ אמר אנא לכונ דלא תקומונ לוקבל בישׁא אלא מנ דמחא לכ על פככ דימינא אפנא לה אפ אחרנא ܀
40N	5	40	ומנ דצבא דנדונ עמכ ונשׁקול כותינכ שׁבוק לה אפ מרטוטכ ܀
40N	5	41	מנ דמשׁחר לכ מילא חד זל עמה תרינ ܀
40N	5	42	מנ דשׁאל לכ הב לה ומנ דצבא דנאזפ מנכ לא תכליוהי ܀
40N	5	43	שׁמעתונ דאתאמר דרחמ לקריבכ וסני לבעלדבבכ ܀
40N	5	44	אנא דינ אמר אנא לכונ אחבו לבעלדבביכונ וברכו למנ דלאט לכונ ועבדו דשׁפיר למנ דסנא לכונ וצלו על אילינ דדברינ לכונ בקטירא ורדפינ לכונ ܀
40N	5	45	איכנא דתהוונ בנוהי דאבוכונ דבשׁמיא הו דמדנח שׁמשׁה על טבא ועל בישׁא ומחת מטרה על כאנא ועל עולא ܀
40N	5	46	אנ גיר מחבינ אנתונ לאילינ דמחבינ לכונ מנא אגרא אית לכונ לא הא אפ מכסא הי הדא עבדינ ܀
40N	5	47	ואנ שׁאלינ אנתונ בשׁלמא דאחיכונ בלחוד מנא יתיר עבדינ אנתונ לא הא אפ מכסא הי הדא עבדינ ܀ 48 הוו הכיל אנתונ גמירא איכנא דאבוכונ דבשׁמיא גמיר הו ܀
40N	5	48	 
40N	6	1	חורו דינ בזדקתכונ דלא תעבדונה קדמ בני אנשׁא איכ דתתחזונ להונ ואלא אגרא לית לכונ לות אבוכונ דבשׁמיא ܀
40N	6	2	אמתי הכיל דעבד אנת זדקתא לא תקרא קרנא קדמיכ איכ דעבדינ נסבי באפא בכנושׁתא ובשׁוקא איכ דנשׁתבחונ מנ בני אנשׁא ואמינ אמר אנא לכונ דקבלו אגרהונ ܀
40N	6	3	אנת דינ מא דעבד אנת זדקתא לא תדע סמלכ מנא עבדא ימינכ ܀
40N	6	4	איכ דתהוא זדקתכ בכסיא ואבוכ דחזא בכסיא הו נפרעכ בגליא ܀
40N	6	5	ומא דמצלא אנת לא תהוא איכ נסבי באפא דרחמינ למקמ בכנושׁתא ובזויתא דשׁוקא למצליו דנתחזונ לבני אנשׁא ואמינ אמר אנא לכונ דקבלו אגרהונ ܀
40N	6	6	אנת דינ אמתי דמצלא אנת עול לתונכ ואחוד תרעכ וצלא לאבוכ דבכסיא ואבוכ דחזא בכסיא נפרעכ בגליא ܀
40N	6	7	ומא דמצלינ אנתונ לא הויתונ מפקקינ איכ חנפא סברינ גיר דבממללא סגיאא משׁתמעינ ܀
40N	6	8	לא הכיל תדמונ להונ אבוכונ גיר ידע מנא מתבעא לכונ עדלא תשׁאלוניהי ܀
40N	6	9	הכנא הכיל צלו אנתונ אבונ דבשׁמיא נתקדשׁ שׁמכ ܀
40N	6	10	תאתא מלכותכ נהוא צבינכ איכנא דבשׁמיא אפ בארעא ܀
40N	6	11	הב לנ לחמא דסונקננ יומנא ܀
40N	6	12	ושׁבוק לנ חובינ איכנא דאפ חננ שׁבקנ לחיבינ ܀
40N	6	13	ולא תעלנ לנסיונא אלא פצנ מנ בישׁא מטל דדילכ הי מלכותא וחילא ותשׁבוחתא לעלמ עלמינ ܀
40N	6	14	אנ גיר תשׁבקונ לבנינשׁא סכלותהונ נשׁבוק אפ לכונ אבוכונ דבשׁמיא ܀
40N	6	15	אנ דינ לא תשׁבקונ לבנינשׁא אפלא אבוכונ שׁבק לכונ סכלותכונ ܀
40N	6	16	אמתי דינ דצימינ אנתונ לא תהוונ כמירא איכ נסבי באפא מחבלינ גיר פרצופיהונ איכ דנתחזונ לבנינשׁא דצימינ ואמינ אמר אנא לכונ דקבלו אגרהונ ܀
40N	6	17	אנת דינ מא דצאמ אנת אשׁיג אפיכ ומשׁוח רשׁכ ܀
40N	6	18	איכ דלא תתחזא לבנינשׁא דצאמ אנת אלא לאבוכ דבכסיא ואבוכ דחזא בכסיא הו נפרעכ ܀
40N	6	19	לא תסימונ לכונ סימתא בארעא אתר דססא ואכלא מחבלינ ואיכא דגנבא פלשׁינ וגנבינ ܀
40N	6	20	אלא סימו לכונ סימתא בשׁמיא איכא דלא ססא ולא אכלא מחבלינ ואיכא דגנבא לא פלשׁינ ולא גנבינ ܀
40N	6	21	איכא גיר דאיתיה סימתכונ תמנ הו אפ לבכונ ܀
40N	6	22	שׁרגא דפגרא איתיה עינא אנ עינכ הכיל תהוא פשׁיטא אפ כלה פגרכ נהיר הו ܀
40N	6	23	אנ דינ עינכ תהוא בישׁא כלה פגרכ חשׁוכא נהוא אנ הכיל נוהרא דבכ חשׁוכא הו חשׁוככ כמא נהוא ܀
40N	6	24	לא אנשׁ משׁכח לתרינ מרונ למפלח או גיר לחד נסנא ולאחרנא נרחמ או לחד ניקר ולאחרנא נשׁוט לא משׁכחינ אנתונ לאלהא למפלח ולממונא ܀
40N	6	25	מטל הנא אמר אנא לכונ לא תאצפונ לנפשׁכונ מנא תאכלונ ומנא תשׁתונ ולא לפגרכונ מנא תלבשׁונ לא הא נפשׁא יתירא מנ סיברתא ופגרא מנ לבושׁא ܀
40N	6	26	חורו בפרחתא דשׁמיא דלא זרעינ ולא חצדינ ולא חמלינ באוצרא ואבוכונ דבשׁמיא מתרסא להונ לא הא אנתונ מיתרינ אנתונ מנהונ ܀
40N	6	27	מנו דינ מנכונ כד יצפ משׁכח למוספו על קומתה אמתא חדא ܀
40N	6	28	ועל לבושׁא מנא יצפינ אנתונ אתבקו בשׁושׁנא דדברא איכנא רבינ דלא לאינ ולא עזלנ ܀
40N	6	29	אמר אנא לכונ דינ דאפלא שׁלימונ בכלה שׁובחה אתכסי איכ חדא מנהינ ܀
40N	6	30	אנ דינ לעמירא דחקלא דיומנא איתוהי ומחר נפל בתנורא אלהא הכנא מלבשׁ לא סגי יתיר לכונ זעורי הימנותא ܀
40N	6	31	לא הכיל תאצפונ או תאמרונ מנא נאכול או מנא נשׁתא או מנא נתכסא ܀
40N	6	32	כלהינ גיר הלינ עממא הו בעינ להינ אבוכונ דינ דבשׁמיא ידע דאפ לכונ מתבעינ הלינ כלהינ ܀
40N	6	33	בעו דינ לוקדמ מלכותה דאלהא וזדיקותה וכלהינ הלינ מתתוספנ לכונ ܀ 34 לא הכיל תאצפונ דמחר הו גיר מחר יצפ דילה ספק לה ליומא בישׁתה ܀
40N	6	34	 
40N	7	1	לא תדונונ דלא תתדינונ ܀
40N	7	2	בדינא גיר דדינינ אנתונ תתדינונ ובכילתא דמכילינ אנתונ מתתכיל לכונ ܀
40N	7	3	מנא דינ חזא אנת גלא דבעינה דאחוכ וקריתא דבעינכ לא בחר אנת ܀
40N	7	4	או איכנא אמר אנת לאחוכ שׁבוק אפק גלא מנ עינכ והא קריתא בעינכ ܀
40N	7	5	נסב באפא אפק לוקדמ קריתא מנ עינכ והידינ נתבחר לכ למפקו גלא מנ עינה דאחוכ ܀
40N	7	6	לא תתלונ קודשׁא לכלבא ולא תרמונ מרגניתכונ קדמ חזירא דלמא נדושׁונ אנינ ברגליהונ ונהפכונ נבזעונכונ ܀
40N	7	7	שׁאלו ונתיהב לכונ בעו ותשׁכחונ קושׁו ונתפתח לכונ ܀
40N	7	8	כל גיר דשׁאל נסב ודבעא משׁכח ולאינא דנקשׁ מתפתח לה ܀
40N	7	9	או מנו מנכונ גברא דנשׁאליוהי ברה לחמא למא כאפא מושׁט לה ܀
40N	7	10	ואנ נונא נשׁאליוהי למא חויא מושׁט לה ܀
40N	7	11	ואנ הכיל אנתונ דבישׁא אנתונ ידעינ אנתונ מוהבתא טבתא למתל לבניכונ כמא יתיראית אבוכונ דבשׁמיא נתל טבתא לאילינ דשׁאלינ לה ܀
40N	7	12	כל מא דצבינ אנתונ דנעבדונ לכונ בני אנשׁא הכנא אפ אנתונ עבדו להונ הנו גיר נמוסא ונביא ܀
40N	7	13	עולו בתרעא אליצא דפתא הו תרעא וארויחא אורחא אידא דמובלא לאבדנא וסגיאא אנונ אילינ דאזלינ בה ܀
40N	7	14	מא קטינ תרעא ואליצא אורחא דמובלא לחיא וזעורא אנונ אילינ דמשׁכחינ לה ܀
40N	7	15	אזדהרו מנ נביא דגלא דאתינ לותכונ בלבושׁא דאמרא מנ לגו דינ איתיהונ דאבא חטופא ܀
40N	7	16	מנ פאריהונ דינ תדעונ אנונ למא לקטינ מנ כובא ענבא או מנ קורטבא תאנא ܀
40N	7	17	הכנא כל אילנא טבא פארא שׁפירא עבד אילנא דינ בישׁא פארא בישׁא עבד ܀
40N	7	18	לא משׁכח אילנא טבא פארא בישׁא למעבד ולא אילנא בישׁא פארא טבא למעבד ܀
40N	7	19	כל אילנא דלא עבד פארא טבא מתפסק ובנורא נפל ܀
40N	7	20	מדינ מנ פאריהונ תדעונ אנונ ܀
40N	7	21	לא הוא כל דאמר לי מרי מרי עאל למלכותא דשׁמיא אלא מנ דעבד צבינה דאבי דבשׁמיא ܀
40N	7	22	סגיאא נאמרונ לי בהו יומא מרי מרי לא בשׁמכ אתנבינ ובשׁמכ שׁאדא אפקנ ובשׁמכ חילא סגיאא עבדנ ܀
40N	7	23	והידינ אודא להונ דמנ מתומ לא ידעתכונ ארחקו לכונ מני פלחי עולא ܀
40N	7	24	כל הכיל דשׁמע מלי הלינ ועבד להינ נתדמא לגברא חכימא הו דבנא ביתה על שׁועא ܀
40N	7	25	ונחת מטרא ואתו נהרותא ונשׁב רוחא ואתטריו בה בביתא הו ולא נפל שׁתאסוהי גיר על שׁועא סימנ הוי ܀
40N	7	26	וכל מנ דשׁמע מלי הלינ ולא עבד להינ נתדמא לגברא סכלא דבנא ביתה על חלא ܀
40N	7	27	ונחת מטרא ואתו נהרותא ונשׁב רוחא ואתטריו בביתא הו ונפל והות מפולתה רבא ܀
40N	7	28	והוא דכד שׁלמ ישׁוע מלא הלינ תהירינ הוו כנשׁא על יולפנה ܀ 29 מלפ הוא להונ גיר איכ משׁלטא ולא איכ ספריהונ ופרישׁא ܀
40N	7	29	 
40N	8	1	כד נחת דינ מנ טורא נקפוהי כנשׁא סגיאא ܀
40N	8	2	והא גרבא חד אתא סגד לה ואמר מרי אנ צבא אנת משׁכח אנת למדכיותי ܀
40N	8	3	ופשׁט אידה ישׁוע קרב לה ואמר צבא אנא אתדכא ובה בשׁעתא אתדכי גרבה ܀
40N	8	4	ואמר לה ישׁוע חזי למא לאנשׁ אמר אנת אלא זל חוא נפשׁכ לכהנא וקרב קורבנא איכ דפקד מושׁא לסהדותהונ ܀
40N	8	5	כד על דינ ישׁוע לכפרנחומ קרב לה קנטרונא חד ובעא הוא מנה ܀
40N	8	6	ואמר מרי טליי רמא בביתא ומשׁרי ובישׁאית משׁתנק ܀
40N	8	7	אמר לה ישׁוע אנא אתא ואסיוהי ܀
